rid,name,price,lat,lng,rating
sandras-next-generation-new-haven,Sandra's Next Generation,2,41.300091,-72.939526,4.55
august-new-haven-3,August,2,41.315818,-72.909621,4.648351648351649
pitaziki-mediterranean-grill-new-haven,Pitaziki Mediterranean Grill,1,41.306117,-72.927307,4.57
da-legna-new-haven,Da Legna,2,41.313407,-72.913453,4.39
tikkaway-fresh-indian-grill-new-haven-2,Tikkaway Fresh Indian Grill,1,41.305494,-72.923994,4.53
caseus-fromagerie-and-bistro-new-haven,Caseus Fromagerie & Bistro,2,41.313159,-72.921473,4.2
frank-pepe-pizzeria-napoletana-new-haven,Frank Pepe Pizzeria Napoletana,2,41.302918,-72.916899,4.2
crepes-choupette-new-haven-6,Crepes Choupette,1,41.311040,-72.922425,4.5606060606060606
mecha-noodle-bar-new-haven,Mecha Noodle Bar,2,41.305522,-72.928587,4.12
junzi-kitchen-new-haven,Junzi Kitchen,1,41.311184,-72.930290,4.507692307692308
